High,Close,Low,Open,Log Return
4872.799,4871.721,4850.566,4849.643,0.004511651520616918
4880.076,4863.126,4856.352,4875.989,-0.0017658217398501051
4874.324,4861.388,4845.052,4875.051,-0.00035744717288808703
4873.067,4846.925,4827.888,4857.433,-0.00297951059047744
4848.972,4792.844,4792.393,4839.561,-0.011220511072006539
4809.732,4811.016,4769.18,4789.634,0.0037843162409359134
4825.003,4818.798,4805.048,4814.879,0.0016162309456887651
4823.15,4811.767,4795.82,4821.817,-0.0014601430443976408
4824.046,4818.213,4799.612,4815.993,0.0013387361059354172
4822.034,4798.668,4786.522,4818.871,-0.004064733027327522
4803.594,4806.545,4778.244,4794.302,0.001640151398167766
4846.689,4843.343,4802.835,4804.284,0.007626653980939279
4874.994,4865.02,4846.83,4849.726,0.004465641843732515
4884.794,4883.447,4864.441,4863.979,0.0037804963481510613
4907.038,4904.268,4882.454,4880.726,0.004254523432012671
4909.132,4875.577,4874.888,4902.437,-0.005867389986300203
4895.859,4894.05,4853.403,4872.849,0.0037817251397372267
4927.63,4925.645,4892.919,4896.954,0.006435048955924333
4934.065,4910.225,4892.692,4936.296,-0.0031354649122066498
4920.993,4908.239,4899.383,4901.012,-0.00040454393418072577
4913.644,4915.043,4901.811,4914.216,0.0013852806196695288
4922.661,4918.103,4906.04,4909.683,0.000622384758403477
4919.211,4920.888,4898.525,4913.381,0.0005661149754845714
4922.779,4915.746,4910.864,4924.454,-0.0010454796769630622
4921.084,4897.37,4896.182,4915.668,-0.0037451960170921633
4912.939,4907.07,4895.766,4901.045,0.001978696012177536
4908.913,4893.758,4887.559,4910.572,-0.0027165068474263527
4898.789,4873.214,4863.265,4895.523,-0.004206837144219267
4878.682,4849.94,4840.862,4874.174,-0.004787344610759124
4886.344,4865.376,4840.784,4848.59,0.0031776656546888935
4881.301,4823.478,4804.522,4869.789,-0.008648754778887954
4820.616,4811.524,4810.074,4820.111,-0.0024813707633059927
4814.179,4777.66,4765.668,4812.015,-0.007062986960635632
4771.244,4721.688,4711.889,4768.089,-0.011784524107934843
4734.416,4736.814,4706.828,4718.498,0.0031983950301164663
4741.069,4677.276,4672.82,4737.344,-0.012648868622990946
4682.538,4673.702,4663.923,4675.835,-0.0007644120591517394
4709.045,4691.639,4670.119,4678.363,0.0038305112290489968
4698.623,4669.454,4661.786,4693.889,-0.004739840002477536
4668.821,4622.84,4606.188,4671.853,-0.010032913511045237
4622.791,4618.079,4599.341,4614.969,-0.001030417087576178
4654.436,4657.816,4610.553,4619.281,0.00856785099107108
4655.566,4636.345,4619.737,4647.335,-0.004620328439734088
4635.118,4628.891,4602.8,4638.066,-0.0016090257405593574
4648.428,4621.882,4606.725,4624.528,-0.0015153331167442978
4630.23,4608.173,4599.603,4622.432,-0.002970515361097875
4614.754,4602.326,4593.38,4608.82,-0.0012696382216507104
4596.539,4592.571,4572.442,4595.04,-0.0021218298932293477
4607.11,4583.445,4570.427,4589.68,-0.0019890991927063438
4597.396,4600.683,4579.68,4587.806,0.0037538719500672902
4602.013,4589.369,4575.922,4600.302,-0.002462228878790616
4604.361,4590.028,4571.128,4597.514,0.0001435824163902573
4627.589,4589.673,4589.307,4603.756,-7.734456714385004e-05
4615.448,4587.258,4573.989,4598.443,-0.000526319758914782
4588.985,4559.325,4556.884,4584.909,-0.006107873692125052
4560.543,4541.852,4535.693,4560.692,-0.0038397278654780788
4563.259,4563.278,4538.511,4542.144,0.004706366531528222
4579.034,4578.533,4558.941,4558.422,0.003337416220838813
4621.24,4619.803,4587.372,4586.096,0.008973422351448766
4652.601,4643.278,4621.659,4645.377,0.005068518834243859
4676.902,4654.327,4643.681,4648.63,0.0023767422258157856
4665.554,4652.655,4629.905,4651.754,-0.0003593001507874681
4646.917,4635.594,4617.405,4644.937,-0.003673678254708339
4647.412,4643.318,4630.022,4635.107,0.0016648507463091892
4672.188,4674.684,4624.588,4627.225,0.0067323699804739505
4677.232,4674.268,4658.95,4659.755,-8.899393221290737e-05
4699.218,4692.281,4676.797,4697.744,0.003846245230004054
4729.625,4726.358,4684.391,4684.681,0.007236108888511772
4740.482,4733.135,4718.259,4725.565,0.0014328465932497247
4743.898,4746.246,4724.277,4737.786,0.0027662161401454865
4747.301,4733.741,4723.239,4744.719,-0.002638190801939346
4746.602,4743.049,4722.567,4735.076,0.001964378865233848
4766.623,4755.957,4742.041,4742.476,0.002717759720355614
4763.004,4735.167,4731.432,4755.324,-0.004380942289082861
4751.163,4748.406,4734.105,4736.157,0.002791987492487643
4749.363,4746.509,4737.687,4748.282,-0.0003995823080544485
4748.668,4743.029,4737.203,4744.027,-0.0007334393214928028
4764.587,4759.071,4745.12,4748.878,0.003376519977916965
4796.112,4776.353,4763.405,4765.585,0.0036248034534456025
4777.123,4755.498,4756.261,4774.848,-0.004375862207227899
4757.841,4746.271,4740.926,4749.039,-0.0019421652747731327
4737.131,4573.805,4571.168,4737.852,-0.037013794677320765
4669.929,4586.352,4578.69,4580.391,0.002739474410058328
4618.64,4620.137,4558.312,4587.767,0.00733942150112107
4634.914,4613.376,4610.157,4624.99,-0.0014644483000798513
4646.918,4644.361,4620.889,4625.997,0.006693885492354979
4668.048,4655.09,4637.821,4649.093,0.002307449065624688
4656.154,4647.93,4627.91,4655.481,-0.0015392853962995583
4659.835,4658.133,4635.193,4650.411,0.0021927648863297247
4661.45,4633.371,4626.654,4658.317,-0.005330043149674466
4639.409,4634.72,4616.373,4631.239,0.0002911063366828777
4627.521,4627.799,4614.816,4624.883,-0.0014944101681267897
4638.091,4632.034,4615.869,4627.851,0.0009147033850995931
4624.453,4612.666,4606.564,4624.982,-0.004190082606607898
